Month,Day,Views,Saves
March,1,20,1
March,2,14,
March,3,20,1
March,4,19,
March,5,15,
March,6,14,
March,7,13,1
March,8,17,1
March,9,18,1
March,10,24,
March,11,3,
March,12,10,
March,13,8,
March,14,7,
March,15,18,
March,16,15,
March,17,8,
March,18,4,1
March,19,13,
March,20,7,
March,21,14,1
March,22,10,
March,23,9,
March,24,8,
March,25,25,
March,26,4,1
March,27,6,
March,28,9,
March,29,12,1
March,30,9,
March,31,12,1
April,1,5,
April,2,7,
April,3,12,
April,4,9,
April,5,11,
April,6,7,
April,7,9,
April,8,12,
April,9,23,
April,10,21,1
April,11,11,
April,12,16,
April,13,18,
April,14,8,
April,15,17,
April,16,16,
April,17,32,
April,18,30,
April,19,21,
April,20,19,
April,21,13,2
April,22,14,1
April,23,10,
April,24,17,
April,25,,
April,26,20,
April,27,26,1
April,28,19,
April,29,23,1
April,30,20,1
May,1,28,
May,2,19,1
May,3,17,
May,4,21,1
May,5,21,
May,6,19,
May,7,27,3
May,8,30,
May,9,27,
May,10,47,1
May,11,37,1
May,12,29,1
May,13,19,1
May,14,35,1
May,15,22,1
May,16,31,
May,17,42,1
May,18,37,5
May,19,36,3
May,20,25,1
May,21,42,1
May,22,45,
May,23,51,2
May,24,36,2
May,25,37,1
May,26,21,2
May,27,31,1
May,28,47,2
May,29,34,1
May,30,22,
June,1,22,
June,2,30,
June,3,27,
June,4,30,
June,5,28,
June,6,41,1
June,7,38,
June,8,34,1
June,9,39,
June,10,35,
June,11,50,1
June,12,33,
June,13,67,
June,14,36,1
June,15,65,1
June,16,58,1
June,17,50,1
June,18,52,2
June,19,49,2
June,20,47,2
June,21,55,2
June,22,64,4
June,23,53,
June,24,66,3
June,25,53,
June,26,49,1
June,27,68,6
June,28,75,1
June,29,47,1
June,30,43,
